*** SPRNt Results. Netlist: "m9.spt" Epoch: "1970-01-01T00:00:00Z" Reqested Tstop: 1 hr 40 min
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
6  17.00 1.134969e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  18.00 1.900000e+00 9.327124e+01 1.771763e+01 7.177176e+02
2  18.00 1.691047e+00 1.180385e+02 1.439730e+01 7.177173e+02
3  18.00 1.482246e+00 5.370590e+01 1.107693e+01 7.177169e+02
4  18.00 1.338977e+00 3.783617e+01 7.756275e+00 7.177163e+02
5  18.00 1.201933e+00 1.426649e+01 4.434426e+00 7.177145e+02
6  18.00 1.149978e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  19.00 1.950000e+00 9.328954e+01 1.772070e+01 7.177207e+02
2  19.00 1.731488e+00 1.180857e+02 1.440037e+01 7.177204e+02
3  19.00 1.513133e+00 5.372415e+01 1.107999e+01 7.177200e+02
4  19.00 1.363290e+00 3.786288e+01 7.759324e+00 7.177193e+02
5  19.00 1.219904e+00 1.428280e+01 4.437427e+00 7.177175e+02
6  19.00 1.165525e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  20.00 2.000000e+00 9.330862e+01 1.772391e+01 7.177239e+02
2  20.00 1.772089e+00 1.181350e+02 1.440357e+01 7.177236e+02
3  20.00 1.544337e+00 5.374319e+01 1.108319e+01 7.177232e+02
4  20.00 1.388015e+00 3.789074e+01 7.762504e+00 7.177225e+02
5  20.00 1.238362e+00 1.429983e+01 4.440558e+00 7.177206e+02
6  20.00 1.181586e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  21.00 2.100000e+00 9.333159e+01 1.772776e+01 7.177278e+02
2  21.00 1.838041e+00 1.181906e+02 1.440718e+01 7.177272e+02
3  21.00 1.583675e+00 5.376388e+01 1.108666e+01 7.177267e+02
4  21.00 1.416008e+00 3.792035e+01 7.765882e+00 7.177259e+02
5  21.00 1.257735e+00 1.431771e+01 4.443843e+00 7.177239e+02
6  21.00 1.198153e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  22.00 2.200000e+00 9.335549e+01 1.773177e+01 7.177318e+02
2  22.00 1.916521e+00 1.182518e+02 1.441115e+01 7.177312e+02
3  22.00 1.636050e+00 5.378688e+01 1.109052e+01 7.177305e+02
4  22.00 1.451381e+00 3.795275e+01 7.769578e+00 7.177296e+02
5  22.00 1.279391e+00 1.433690e+01 4.447368e+00 7.177274e+02
6  22.00 1.215405e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  23.00 2.300000e+00 9.338085e+01 1.773603e+01 7.177360e+02
